% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1,300427591e+08 +1,300427591e+08 +1,300421380e+08 +1,300421380e+08 -1,4416e+00 +4,7501e+00 -7,3170e-01 -4,2321e+00 -3,7926e+00 -4,9757e+00 -7,9455e-01 -4,4949e+00 +1,5937e+00 -4,5035e-01
15 +6,203996760e+07 +6,203996760e+07 +6,203934649e+07 +6,203934649e+07 -1,1518e+00 +3,7815e+00 +4,3351e+00 +3,9268e-01 +2,5515e+00 -1,8731e+00 -1,7819e+00 +2,4736e+00 +3,0262e+00 -4,9035e-01
21 +2,666137546e+07 +2,666137546e+07 +2,666075435e+07 +2,666075435e+07 -1,9684e+00 +4,2544e+00 +9,3266e-01 -1,5556e+00 -1,3929e+00 -1,5857e+00 -7,4508e-01 -3,3718e+00 -9,5750e-01 +1,3798e+00
43 +2,160062249e+07 +2,160062249e+07 +2,160000138e+07 +2,160000138e+07 -1,9684e+00 +3,3820e+00 +9,3266e-01 -1,5556e+00 -1,3929e+00 -1,5857e+00 -7,4508e-01 +1,1646e-01 -9,5750e-01 +1,6731e+00
97 +1,500779433e+07 +1,500779433e+07 +1,500717322e+07 +1,500717322e+07 -8,8946e-01 +3,3820e+00 +9,3266e-01 -1,5556e+00 -1,3929e+00 -1,5857e+00 -7,4508e-01 -2,4997e+00 +7,4333e-01 +2,3488e-01
215 +8,101803468e+06 +8,101803468e+06 +8,101182358e+06 +8,101182358e+06 -3,1475e-01 +3,3820e+00 +9,3266e-01 -1,7231e+00 -1,3929e+00 -1,9217e+00 +1,8765e+00 -1,3505e+00 +1,4254e+00 +8,8068e-01
283 +5,359354767e+06 +5,359354767e+06 +5,358733657e+06 +5,358733657e+06 -2,9821e-01 +3,3820e+00 +4,2050e-01 -3,3476e+00 -1,3929e+00 -1,9217e+00 +1,6906e+00 -1,5095e+00 +1,9704e+00 -1,8325e+00
312 +3,890121859e+06 +3,890121859e+06 +3,889500749e+06 +3,889500749e+06 -2,4337e-01 +3,3820e+00 +4,2050e-01 -3,4118e+00 -1,3929e+00 -1,9217e+00 +2,2923e+00 -1,4708e+00 +4,9167e-01 +8,8068e-01
572 +2,502853030e+06 +2,502853030e+06 +2,502231920e+06 +2,502231920e+06 -2,9821e-01 +3,3820e+00 +4,2050e-01 -3,3476e+00 +9,2899e-01 -1,9217e+00 +1,3618e+00 -1,5095e+00 +1,5855e+00 -3,1421e-01
720 +1,533163231e+06 +1,533163231e+06 +1,532542121e+06 +1,532542121e+06 -1,4800e+00 +3,2794e+00 +4,2050e-01 -3,3476e+00 -1,8689e-01 -1,9217e+00 +1,1639e+00 -1,5095e+00 +1,1914e+00 -1,5999e-01
1016 +6,751248740e+05 +6,751248740e+05 +6,745037640e+05 +6,745037640e+05 -7,8609e-01 +3,2972e+00 +1,8194e-01 -3,5764e+00 -2,2009e-01 -1,8533e+00 +1,1639e+00 -8,5315e-01 +1,5170e+00 -1,5999e-01
1305 +5,540366803e+05 +5,540366803e+05 +5,534155703e+05 +5,534155703e+05 -7,8609e-01 +3,2972e+00 +1,8194e-01 -3,5764e+00 -2,2009e-01 -2,0596e+00 +1,1639e+00 -6,4791e-01 +1,0273e+00 -1,5999e-01
1792 +2,370315374e+05 +2,370315374e+05 +2,364104274e+05 +2,364104274e+05 -7,8609e-01 +3,8341e+00 -1,6990e-02 -3,5764e+00 -2,2009e-01 -1,7591e+00 +1,1639e+00 -6,4791e-01 +1,0273e+00 -1,5999e-01
2810 +1,366166028e+05 +1,366166028e+05 +1,359954928e+05 +1,359954928e+05 -7,8609e-01 +3,8015e+00 -1,6990e-02 -3,5764e+00 -2,2009e-01 -2,0576e+00 +1,5143e+00 -6,8412e-01 +1,0273e+00 -2,2506e-01
2842 +9,381506802e+04 +9,381506802e+04 +9,319395802e+04 +9,319395802e+04 -7,8609e-01 +3,9588e+00 -1,6990e-02 -3,5764e+00 -2,2009e-01 -2,0576e+00 +1,5143e+00 -6,8412e-01 +1,1240e+00 -2,2506e-01
3042 +6,212605322e+04 +6,212605322e+04 +6,150494322e+04 +6,150494322e+04 -7,8609e-01 +4,0400e+00 -1,6990e-02 -3,5764e+00 -2,2009e-01 -2,0576e+00 +1,3441e+00 -6,8412e-01 +1,2411e+00 -2,3919e-01
7061 +2,056720567e+04 +2,056720567e+04 +1,994609567e+04 +1,994609567e+04 -8,9994e-01 +4,0232e+00 +2,4198e-01 -3,8622e+00 -6,7347e-01 -2,1414e+00 +1,3714e+00 -6,5866e-01 +1,1448e+00 -2,9360e-01
